IMG_Contig_Name,Original_Contig_Name,Bin,Contig %GC,Contig Length,Locus_Tag,IMG_Gene_ID,Gene_Start,Gene_Stop,Gene_Length,Homolog_Gene_ID,Homolog_Taxon_ID,Lineage %ID,Lineage,Product,Source,COG_ID,Cog %ID,PFAM_ID,KO_Term,KO %ID,EC_Number
WOR52_10021215,WOR1_52_54_19671,#N/A,39.0244,6888,WOR52_100212159,WOR52_10021215.31,6223,6888,665,2510093290,2510065009,30.6,"Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;lagunensis;Caldisphaera lagunensis IC-154, DSM 15908",Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,25.74,pfam00155,KO:K00812,30.6,EC:2.6.1.1
WOR52_10014459,WOR1_52_54_12521,#N/A,47.0502,8831,WOR52_1001445910,WOR52_10014459.32,8676,8831,155,650847194,650716001,52.3,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;hospitalis;Acidianus hospitalis W1,Peptidase family M50,pfam02163,,,pfam02163,,,
WOR52_10006139,WOR1_52_54_3578,#N/A,27.5172,15801,WOR52_100061392,WOR52_10006139.5,997,1914,917,650846788,650716001,40.7,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;hospitalis;Acidianus hospitalis W1,Methionine aminopeptidase,COG0024,COG0024,34.42,pfam00557,KO:K01265,40.7,EC:3.4.11.18
WOR52_10003054,WOR1_52_54_72,43,34.7942,72765,WOR52_1000305446,WOR52_10003054.156,48775,49680,905,2524414706,2524023197,38.1,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;acidocaldarius;Sulfolobus acidocaldarius N8,Methionine aminopeptidase,COG0024,COG0024,51.85,pfam00557,KO:K01265,38.1,EC:3.4.11.18
WOR52_10004080,WOR1_52_54_1284,#N/A,36.5644,24811,WOR52_100040803,WOR52_10004080.8,4206,5597,1391,638194669,638154519,32.7,"Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;tokodaii;Sulfolobus tokodaii 7, JCM 10545",Bacterial pre-peptidase C-terminal domain,pfam04151,COG3889,34.72,pfam07495,,,
WOR52_10022516,WOR1_52_54_21033,43,36.5945,6654,WOR52_100225163,WOR52_10022516.9,6514,6654,140,639773310,639633064,47.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,,,COG0160,33.33,,KO:K00823,47.6,EC:2.6.1.19
WOR52_10014010,WOR1_52_54_12041,45,66.085,13065,WOR52_100140105,WOR52_10014010.17,4221,5564,1343,639773310,639633064,47,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,47.1,pfam00202,KO:K00823,47,EC:2.6.1.19
WOR52_10005988,WOR1_52_54_3416,76,51.17,27307,WOR52_1000598816,WOR52_10005988.41,12814,14151,1337,639773310,639633064,53.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.58,pfam15366,KO:K00823,53.8,EC:2.6.1.19
WOR52_10009024,WOR1_52_54_6702,33-1,53.4948,13005,WOR52_100090246,WOR52_10009024.20,3280,4614,1334,639773310,639633064,52.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.93,pfam00202,KO:K00823,52.1,EC:2.6.1.19
WOR52_10011716,WOR1_52_54_9594,78-1,41.3501,9925,WOR52_100117168,WOR52_10011716.27,8731,9924,1193,639773310,639633064,45.2,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,46.46,pfam00202,KO:K00823,45.2,EC:2.6.1.19
WOR52_10015393,WOR1_52_54_13511,#N/A,49.058,8333,WOR52_100153938,WOR52_10015393.27,6452,7705,1253,639774231,639633064,51.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,domain,pfam01855,COG1014,25.62,pfam01558,KO:K00174,51.8,EC:1.2.7.3
WOR52_10003174,WOR1_52_54_212,#N/A,42.0017,67571,WOR52_1000317435,WOR52_10003174.121,30974,32311,1337,639773310,639633064,58.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.91,pfam00202,KO:K00823,58.8,EC:2.6.1.19
WOR52_10000479,15840,#N/A,44.5027,63358,WOR52_1000047913,WOR52_10000479.38,9698,11035,1337,639773310,639633064,53.3,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.7,pfam00202,KO:K00823,53.3,EC:2.6.1.19
WOR52_10000479,15840,#N/A,44.5027,63358,WOR52_1000047959,WOR52_10000479.193,62167,63357,1190,639773310,639633064,42.7,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,41.75,pfam00202,KO:K00823,42.7,EC:2.6.1.19
WOR52_10003172,WOR1_52_54_209,#N/A,44.1636,50562,WOR52_1000317215,WOR52_10003172.40,10622,11809,1187,639772835,639633064,46.2,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,42.86,pfam00155,KO:K00812,46.2,EC:2.6.1.1
WOR52_10003296,WOR1_52_54_359,#N/A,40.066,43658,WOR52_1000329632,WOR52_10003296.108,23726,25066,1340,639773310,639633064,58.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,49.1,pfam00202,KO:K00823,58.6,EC:2.6.1.19
WOR52_10003327,WOR1_52_54_397,#N/A,42.2516,39563,WOR52_1000332712,WOR52_10003327.36,9517,10854,1337,639773310,639633064,59.5,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.11,pfam00202,KO:K00823,59.5,EC:2.6.1.19
WOR52_10003456,WOR1_52_54_543,#N/A,42.1477,34977,WOR52_100034565,WOR52_10003456.14,3995,5335,1340,639773310,639633064,45.3,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,44.5,pfam00202,KO:K00823,45.3,EC:2.6.1.19
WOR52_10004692,WOR1_52_54_1964,#N/A,40.4969,34089,WOR52_1000469236,WOR52_10004692.122,25890,27227,1337,639773310,639633064,48.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.23,pfam00202,KO:K00823,48.8,EC:2.6.1.19
WOR52_10004125,WOR1_52_54_1336,#N/A,45.2226,24930,WOR52_100041254,WOR52_10004125.10,2727,4064,1337,639773310,639633064,59.5,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.9,pfam00202,KO:K00823,59.5,EC:2.6.1.19
WOR52_10009094,WOR1_52_54_6777,#N/A,43.4765,20227,WOR52_1000909416,WOR52_10009094.54,12763,14100,1337,639773310,639633064,59.7,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.11,pfam00202,KO:K00823,59.7,EC:2.6.1.19
WOR52_10006340,WOR1_52_54_3795,#N/A,46.6996,16604,WOR52_100063405,WOR52_10006340.15,3836,5167,1331,639773310,639633064,49.9,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.57,pfam00202,KO:K00823,49.9,EC:2.6.1.19
WOR52_10001128,16489,#N/A,47.5137,15505,WOR52_100011283,WOR52_10001128.9,1167,2366,1199,639774437,639633064,48.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,43.94,pfam00155,KO:K00812,48.1,EC:2.6.1.1
WOR52_10008372,WOR1_52_54_5989,#N/A,46.401,12420,WOR52_1000837214,WOR52_10008372.49,9191,10390,1199,639774437,639633064,49.9,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,43.77,pfam00155,KO:K00812,49.9,EC:2.6.1.1
WOR52_10011003,WOR1_52_54_8829,#N/A,42.2654,11901,WOR52_100110038,WOR52_10011003.21,5523,6860,1337,639773310,639633064,57.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.36,pfam09840,KO:K00823,57.8,EC:2.6.1.19
WOR52_10009620,WOR1_52_54_7344,#N/A,43.9898,11414,WOR52_100096206,WOR52_10009620.20,4269,5618,1349,639773310,639633064,59.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.91,pfam00202,KO:K00823,59.1,EC:2.6.1.19
WOR52_10010810,WOR1_52_54_8625,#N/A,48.0999,10447,WOR52_100108107,WOR52_10010810.22,7492,8847,1355,639773310,639633064,39.5,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,38.63,pfam00202,KO:K00823,39.5,EC:2.6.1.19
WOR52_10020648,WOR1_52_54_19080,#N/A,42.0033,9704,WOR52_100206481,WOR52_10020648.1,3,539,536,639773310,639633064,47.3,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,39.57,pfam00202,KO:K00823,47.3,EC:2.6.1.19
WOR52_10019066,WOR1_52_54_17407,#N/A,43.0718,9519,WOR52_1001906614,WOR52_10019066.44,6505,7842,1337,639773310,639633064,59.7,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.45,pfam00202,KO:K00823,59.7,EC:2.6.1.19
WOR52_10015548,WOR1_52_54_13677,#N/A,45.1418,8285,WOR52_100155487,WOR52_10015548.20,3872,5212,1340,639773310,639633064,61.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.56,pfam00202,KO:K00823,61.1,EC:2.6.1.19
WOR52_10016002,WOR1_52_54_14167,#N/A,42.5924,8147,WOR52_100160027,WOR52_10016002.20,6425,7735,1310,639773310,639633064,40.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,41.86,pfam00202,KO:K00823,40.6,EC:2.6.1.19
WOR52_10027464,WOR1_52_54_26231,#N/A,43.9386,7292,WOR52_100274647,WOR52_10027464.23,3321,4658,1337,639773310,639633064,58.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.36,pfam00202,KO:K00823,58.6,EC:2.6.1.19
WOR52_10025084,WOR1_52_54_23724,#N/A,44.9896,7195,WOR52_100250841,WOR52_10025084.1,3,107,104,639772839,639633064,70.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,,,COG0449,56.25,,KO:K00820,70.6,EC:2.6.1.16
WOR52_10021852,WOR1_52_54_20341,#N/A,39.5098,7140,WOR52_100218522,WOR52_10021852.5,442,1566,1124,639773310,639633064,62.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,53.95,pfam00202,KO:K00823,62.1,EC:2.6.1.19
WOR52_10042883,WOR1_52_54_91905,#N/A,48.7223,6418,WOR52_100428833,WOR52_10042883.9,1586,2596,1010,639773310,639633064,60.9,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.76,pfam00202,KO:K00823,60.9,EC:2.6.1.19
WOR52_10000015,15,#N/A,45.5473,6176,WOR52_100000153,WOR52_10000015.6,980,2023,1043,639773310,639633064,59.3,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,52.6,pfam00202,KO:K00823,59.3,EC:2.6.1.19
WOR52_10043518,WOR1_52_54_114426,#N/A,58.4887,5955,WOR52_100435185,WOR52_10043518.15,5029,5955,926,639773310,639633064,39.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,41.39,pfam00202,KO:K00823,39.1,EC:2.6.1.19
WOR52_10028823,WOR1_52_54_27652,#N/A,38.976,5742,WOR52_100288234,WOR52_10028823.13,3142,4434,1292,639773310,639633064,45.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,43.18,pfam00202,KO:K00823,45.6,EC:2.6.1.19
WOR52_10032263,WOR1_52_54_31254,#N/A,40.5662,5369,WOR52_100322634,WOR52_10032263.12,4084,5367,1283,639773310,639633064,46.2,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,45.2,pfam00202,KO:K00823,46.2,EC:2.6.1.19
WOR52_10032871,WOR1_52_54_31891,#N/A,45.8773,5312,WOR52_100328712,WOR52_10032871.2,577,1917,1340,639773310,639633064,59.5,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.57,pfam00202,KO:K00823,59.5,EC:2.6.1.19
WOR52_10035741,WOR1_52_54_34899,#N/A,51.3754,5053,WOR52_100357413,WOR52_10035741.8,1534,2892,1358,639773310,639633064,45.2,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,40.99,pfam00202,KO:K00823,45.2,EC:2.6.1.19
