IMG_Contig_Name,Original_Contig_Name,Bin,Contig %GC,Contig Length,Locus_Tag,IMG_Gene_ID,Gene_Start,Gene_Stop,Gene_Length,Homolog_Gene_ID,Homolog_Taxon_ID,Lineage %ID,Lineage,Product,Source,COG_ID,Cog %ID,PFAM_ID,KO_Term,KO %ID,EC_Number
WOR8_10012801,WOR_8-12_11698,SG8-29,50.8732,8303,WOR8_100128013,WOR8_10012801.10,2236,3558,1322,639773310,639633064,37.2,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,36.16,pfam06971,KO:K00823,37.2,EC:2.6.1.19
WOR8_10033016,WOR_8-12_57329,SG8-29,51.1469,6714,WOR8_1003301610,WOR8_10033016.26,5362,6702,1340,639773310,639633064,49.9,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,48.3,pfam00202,KO:K00823,49.9,EC:2.6.1.19
WOR8_10010493,WOR_8-12_8905,0,52.277,9530,WOR8_1001049310,WOR8_10010493.34,9404,9529,125,639783404,639633053,69.4,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;islandicum;Pyrobaculum islandicum DSM 4184,domain,pfam01855,COG0674,42.5,pfam01855,KO:K00169,69.4,EC:1.2.7.1
WOR8_10016214,WOR_8-12_15530,SG8-29,58.2763,7159,WOR8_100162148,WOR8_10016214.26,6828,7157,329,648202742,648028062,52.3,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;distributa;Vulcanisaeta distributa DSM 14429,Aminotransferase class-III,pfam00202,COG0001,50.47,pfam00202,KO:K01845,52.3,EC:5.4.3.8
WOR8_10015687,WOR_8-12_14949,0,41.2707,7303,WOR8_100156876,WOR8_10015687.14,2441,2980,539,638158222,638154502,36,"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;fulgidus;Archaeoglobus fulgidus VC-16, DSM 4304",Peptidase S24-like,pfam00717,COG2932,25.42,pfam10247,KO:K13280,36,EC:3.4.-
WOR8_10012969,WOR_8-12_11898,SG8-12,57.2834,8231,WOR8_100129691,WOR8_10012969.1,2,325,323,638158386,638154502,50.9,"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;fulgidus;Archaeoglobus fulgidus VC-16, DSM 4304",Ornithine/acetylornithine aminotransferase,COG4992,COG4992,31.68,pfam04405,KO:K00818,50.9,EC:2.6.1.11
WOR8_10014642,WOR_8-12_13794,SG8-27,43.5211,7617,WOR8_100146425,WOR8_10014642.14,2586,3797,1211,638158711,638154502,45.3,"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;fulgidus;Archaeoglobus fulgidus VC-16, DSM 4304",Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,40.97,pfam00155,KO:K00812,45.3,EC:2.6.1.1
WOR8_10024820,WOR_8-12_24573,SG8-27-1,43.7243,5601,WOR8_100248207,WOR8_10024820.24,5161,5601,440,638158711,638154502,40.5,"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;fulgidus;Archaeoglobus fulgidus VC-16, DSM 4304",Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,37.93,pfam00155,KO:K00812,40.5,EC:2.6.1.1
WOR8_10012388,WOR_8-12_11218,SG8-38-1,63.4072,8488,WOR8_100123885,WOR8_10012388.17,4118,5347,1229,638158386,638154502,49.1,"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;fulgidus;Archaeoglobus fulgidus VC-16, DSM 4304",Ornithine/acetylornithine aminotransferase,COG4992,COG4992,37.16,pfam00202,KO:K00818,49.1,EC:2.6.1.11
WOR8_10005691,WOR_8-12_5690,SG8-6,34.009,11988,WOR8_1000569110,WOR8_10005691.35,7905,8420,515,2504145742,2504136002,34.8,"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;veneficus;Archaeoglobus veneficus SNP6, DSM 11195","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",COG1014,COG1014,22.99,pfam01558,KO:K00180,34.8,EC:1.2.7.8
WOR8_10011262,WOR_8-12_9853,SG8-51-3,50.6681,9055,WOR8_100112622,WOR8_10011262.5,472,1071,599,650750792,650716052,39.3,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;sp.;Methanobacterium sp. AL-21,"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",COG1014,COG1014,27.23,pfam01558,KO:K00180,39.3,EC:1.2.7.8
WOR8_10032808,WOR_8-12_53521,SG8-32,47.5182,6850,WOR8_100328082,WOR8_10032808.5,1307,1921,614,650870967,650716053,71.9,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;sp.;Methanobacterium sp. SWAN-1,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",pfam02775,COG0028,40.1,pfam02775,KO:K00158,71.9,EC:1.2.3.3
WOR8_10000869,WOR_8-12_868,0,33.0263,32023,WOR8_100008693,WOR8_10000869.8,1071,1688,617,640592268,640427121,27.6,"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;smithii;Methanobrevibacter smithii PS, ATCC 35061",Peptidase family M50,pfam02163,,,pfam02163,,,
WOR8_10004656,WOR_8-12_4655,SG8-29,58.8426,13288,WOR8_100046565,WOR8_10004656.13,2391,3284,893,638155834,638154510,47.5,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;thermautotrophicus;Methanothermobacter thermautotrophicus Delta H,Methionine aminopeptidase,COG0024,COG0024,36.15,pfam00557,KO:K01265,47.5,EC:3.4.11.18
WOR8_10001266,WOR_8-12_1265,0,54.8252,47708,WOR8_1000126618,WOR8_10001266.59,18027,19367,1340,649738191,649633067,38.2,"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;fervidus;Methanothermus fervidus V24S, DSM 2088",Glutamate-1-semialdehyde aminotransferase,COG0001,COG0001,40.41,pfam00202,KO:K01845,38.2,EC:5.4.3.8
WOR8_10002877,WOR_8-12_2876,0,46.4505,16904,WOR8_100028776,WOR8_10002877.15,5348,6691,1343,649738191,649633067,39.5,"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;fervidus;Methanothermus fervidus V24S, DSM 2088",Glutamate-1-semialdehyde aminotransferase,COG0001,COG0001,40,pfam00202,KO:K01845,39.5,EC:5.4.3.8
WOR8_10000194,WOR_8-12_193,SG8-27,44.1847,74003,WOR8_1000019447,WOR8_10000194.143,46836,48659,1823,649737583,649633067,48.2,"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;fervidus;Methanothermus fervidus V24S, DSM 2088","Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains",COG0449,COG0449,44.33,pfam00310,KO:K00820,48.2,EC:2.6.1.16
WOR8_10016849,WOR_8-12_16221,SG8-32,41.1076,8884,WOR8_100168499,WOR8_10016849.21,4347,5252,905,649738675,649633067,45.1,"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;fervidus;Methanothermus fervidus V24S, DSM 2088",Methionine aminopeptidase,COG0024,COG0024,42.86,pfam00557,KO:K01265,45.1,EC:3.4.11.18
WOR8_10031779,WOR_8-12_39684,SG8-27,45.3549,5931,WOR8_100317792,WOR8_10031779.5,792,1697,905,646777792,646564547,44,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;infernus;Methanocaldococcus infernus ME,Methionine aminopeptidase,COG0024,COG0024,34.8,pfam00557,KO:K01265,44,EC:3.4.11.18
WOR8_10003851,WOR_8-12_3850,SG8-32,41.4678,14621,WOR8_1000385110,WOR8_10003851.30,5205,6515,1310,646778165,646564547,59,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;infernus;Methanocaldococcus infernus ME,Glutamate-1-semialdehyde aminotransferase,COG0001,COG0001,56.87,pfam00202,KO:K01845,59,EC:5.4.3.8
WOR8_10015713,WOR_8-12_14978,SG8-6,36.0148,7297,WOR8_100157135,WOR8_10015713.15,4165,5334,1169,638201274,638154505,38.5,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;jannaschii;Methanocaldococcus jannaschii DSM 2661,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,32.91,pfam00155,KO:K00812,38.5,EC:2.6.1.1
WOR8_10018179,WOR_8-12_17636,SG8-5,59.8326,6692,WOR8_100181791,WOR8_10018179.1,1,840,839,646622904,646564548,47.9,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;sp.;Methanocaldococcus sp. FS406-22,Methionine aminopeptidase,COG0024,COG0024,44.83,pfam00557,KO:K01265,47.9,EC:3.4.11.18
WOR8_10007000,WOR_8-12_6999,SG8-6,36.2827,11121,WOR8_100070001,WOR8_10007000.1,1,1101,1100,646622580,646564548,39.1,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;sp.;Methanocaldococcus sp. FS406-22,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,35.15,pfam00155,KO:K00812,39.1,EC:2.6.1.1
WOR8_10004119,WOR_8-12_4118,0,46.6206,14189,WOR8_100041197,WOR8_10004119.22,9618,12785,3167,650857143,650716056,30.1,"Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris;igneus;Methanotorris igneus Kol5, DSM 5666",Peptidase family C25,pfam01364,,,pfam13709,,,
WOR8_10004970,WOR_8-12_4969,0,33.9426,12857,WOR8_100049702,WOR8_10004970.5,967,2844,1877,650857143,650716056,30.4,"Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris;igneus;Methanotorris igneus Kol5, DSM 5666",Peptidase family C25,pfam01364,COG3832,24.39,pfam00801,,,
WOR8_10007234,WOR_8-12_7233,0,34.4403,10569,WOR8_100072345,WOR8_10007234.16,6431,8950,2519,650857143,650716056,25.2,"Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris;igneus;Methanotorris igneus Kol5, DSM 5666",Peptidase family C25,pfam01364,COG4733,20.95,pfam13754,,,
WOR8_10007680,WOR_8-12_7679,0,45.6538,10952,WOR8_1000768014,WOR8_10007680.42,10693,10950,257,640788891,640753034,62.3,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;aeolicus;Methanococcus aeolicus Nankai-3,domain,pfam01855,COG0674,52,pfam01855,KO:K00174,62.3,EC:1.2.7.3
WOR8_10012817,WOR_8-12_11719,0,41.5049,8293,WOR8_100128175,WOR8_10012817.17,3813,4997,1184,641284066,641228496,51,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;maripaludis;Methanococcus maripaludis C6,Ornithine/acetylornithine aminotransferase,COG4992,COG4992,52.67,pfam00202,KO:K00821,51,EC:2.6.1.11
WOR8_10012340,WOR_8-12_11158,0,41.0624,8509,WOR8_100123403,WOR8_10012340.6,1351,2541,1190,640792874,640753035,53.3,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;maripaludis;Methanococcus maripaludis C7,Ornithine/acetylornithine aminotransferase,COG4992,COG4992,51.13,pfam10569,KO:K00821,53.3,EC:2.6.1.11
WOR8_10017492,WOR_8-12_16906,SG8-23-2,45.9527,6844,WOR8_100174926,WOR8_10017492.16,5387,6709,1322,2519842154,2519103186,36.6,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;thermolithotrophicus;Methanothermococcus thermolithotrophicus DSM 2095,Glutamate-1-semialdehyde aminotransferase,COG0001,COG0001,33.33,pfam00202,KO:K01845,35.8,EC:5.4.3.8
WOR8_10018997,WOR_8-12_18505,SG8-35-3,44.3117,6531,WOR8_100189972,WOR8_10018997.5,988,1881,893,2505973777,2505679075,50.7,Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;paludicola;Methanocella paludicola SANAE (reannotation),Methionine aminopeptidase,COG0024,COG0024,38.97,pfam00557,KO:K01265,50.7,EC:3.4.11.18
WOR8_10001140,WOR_8-12_1139,0,30.1991,27375,WOR8_1000114018,WOR8_10001140.62,13171,15792,2621,2507145519,2506783068,29.5,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,COG5091,18.82,pfam00801,,,
WOR8_10001140,WOR_8-12_1139,0,30.1991,27375,WOR8_1000114027,WOR8_10001140.94,24439,25893,1454,2507145519,2506783068,32.5,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam01364,,,
WOR8_10004151,WOR_8-12_4150,0,33.9365,14147,WOR8_100041514,WOR8_10004151.13,2553,3923,1370,2507145519,2506783068,28,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam01364,,,
WOR8_10004970,WOR_8-12_4969,0,33.9426,12857,WOR8_100049704,WOR8_10004970.13,4639,6078,1439,2507145519,2506783068,36.3,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam01364,,,
WOR8_10006317,WOR_8-12_6316,0,34.5508,11499,WOR8_100063174,WOR8_10006317.12,6750,8711,1961,2507145519,2506783068,33.7,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam08126,,,
WOR8_10007234,WOR_8-12_7233,0,34.4403,10569,WOR8_100072346,WOR8_10007234.20,9053,10567,1514,2507145519,2506783068,30,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam08126,,,
WOR8_10030808,WOR_8-12_32323,0,33.2872,9391,WOR8_100308082,WOR8_10030808.5,861,2834,1973,2507145519,2506783068,28.9,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam01364,,,
WOR8_10014970,WOR_8-12_14158,0,33.3938,7723,WOR8_100149708,WOR8_10014970.24,6813,7721,908,2507145519,2506783068,29.9,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam01364,,,
WOR8_10030805,WOR_8-12_32293,0,31.2077,5316,WOR8_100308052,WOR8_10030805.3,268,2757,2489,2507145519,2506783068,32.5,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam08126,,,
WOR8_10019412,WOR_8-12_18933,SG8-51,47.8854,6455,WOR8_100194122,WOR8_10019412.5,2943,5015,2072,2507145519,2506783068,35.7,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;liminatans;Methanofollis liminatans GKZPZ, DSM 4140",Peptidase family C25,pfam01364,,,pfam01364,,,
WOR8_10032647,WOR_8-12_50705,0,49.1156,5597,WOR8_100326476,WOR8_10032647.19,5460,5597,137,2506476719,2506381025,55.3,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;limicola;Methanoplanus limicola M3, DSM 2279",,,,,,KO:K07250,53.5,EC:2.6.1.19
WOR8_10014656,WOR_8-12_13810,AD8-6,47.1813,9224,WOR8_100146564,WOR8_10014656.11,1483,1803,320,643570628,643348525,59,"Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;palustris;Methanosphaerula palustris E1-9c, DSM 19958",domain,pfam01855,COG0674,42.31,pfam01855,KO:K00169,69.5,EC:1.2.7.1
WOR8_10004151,WOR_8-12_4150,0,33.9365,14147,WOR8_1000415110,WOR8_10004151.37,12184,14145,1961,2512010246,2511231210,39.6,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;harundinacea;Methanosaeta harundinacea 6Ac,Peptidase family C25,pfam01364,,,pfam08126,,,
WOR8_10007234,WOR_8-12_7233,0,34.4403,10569,WOR8_100072343,WOR8_10007234.9,1672,3900,2228,2512009185,2511231210,27.9,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;harundinacea;Methanosaeta harundinacea 6Ac,Peptidase family C25,pfam01364,,,pfam13754,,,
WOR8_10013659,WOR_8-12_12687,0,34.626,8303,WOR8_100136593,WOR8_10013659.9,896,3124,2228,2512009185,2511231210,28.1,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;harundinacea;Methanosaeta harundinacea 6Ac,Peptidase family C25,pfam01364,,,pfam00801,,,
WOR8_10002624,WOR_8-12_2623,SG8-2,47.0116,17702,WOR8_1000262418,WOR8_10002624.59,16237,17700,1463,2512009185,2511231210,35,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;harundinacea;Methanosaeta harundinacea 6Ac,Peptidase family C25,pfam01364,COG1392,26.42,pfam08126,,,
WOR8_10033248,WOR_8-12_62440,SG8-2,51.4986,6573,WOR8_100332484,WOR8_10033248.12,3602,5965,2363,2512009185,2511231210,36.7,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;harundinacea;Methanosaeta harundinacea 6Ac,Peptidase family C25,pfam01364,COG1392,26.42,pfam08126,,,
WOR8_10000269,WOR_8-12_268,SG8-5,53.4382,53836,WOR8_1000026940,WOR8_10000269.136,39695,40996,1301,2512010325,2511231210,64.3,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;harundinacea;Methanosaeta harundinacea 6Ac,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,28.53,pfam00155,KO:K00812,64.3,EC:2.6.1.1
WOR8_10002661,WOR_8-12_2660,0,47.6738,22977,WOR8_100026613,WOR8_10002661.8,896,1147,251,646706489,646564550,50,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;mahii;Methanohalophilus mahii SLP, DSM 5219",Ornithine/acetylornithine aminotransferase,COG4992,COG4992,48.19,pfam00202,KO:K00821,50,EC:2.6.1.11
WOR8_10025331,WOR_8-12_25102,SG8-35-4,43.1408,5540,WOR8_100253311,WOR8_10025331.1,2,733,731,646707176,646564550,42.6,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;mahii;Methanohalophilus mahii SLP, DSM 5219",Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,42.04,pfam00155,KO:K00812,42.6,EC:2.6.1.1
WOR8_10018194,WOR_8-12_17652,0,51.256,6688,WOR8_100181949,WOR8_10018194.25,5906,6688,782,2502871273,2502790017,46.2,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;zhilinae;Methanosalsum zhilinae WeN5, DSM 4017",domain,pfam01855,COG0674,26.24,pfam02780,KO:K00174,46.2,EC:1.2.7.3
WOR8_10032617,WOR_8-12_50141,SG8-29,57.6436,5135,WOR8_100326173,WOR8_10032617.9,4053,4334,281,2502871236,2502790017,45.5,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;zhilinae;Methanosalsum zhilinae WeN5, DSM 4017","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",COG1014,COG1014,34.92,pfam01558,KO:K00180,45.5,EC:1.2.7.8
WOR8_10014462,WOR_8-12_13589,SG8-35-3,44.1046,7684,WOR8_1001446212,WOR8_10014462.39,7427,7684,257,2502870050,2502790017,52.9,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;zhilinae;Methanosalsum zhilinae WeN5, DSM 4017",,,,,,KO:K01265,52.9,EC:3.4.11.18
WOR8_10014538,WOR_8-12_13676,SG8-29,59.2922,7657,WOR8_100145382,WOR8_10014538.5,235,1557,1322,638166326,638154509,32.6,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;mazei;Methanosarcina mazei Go1, DSM 3647",Peptidase propeptide and YPEB domain,pfam03413,COG4558,34.43,pfam08882,,,
WOR8_10001110,WOR_8-12_1109,SG8-7,46.3281,27329,WOR8_1000111025,WOR8_10001110.82,24791,27202,2411,638167654,638154509,35,"Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;mazei;Methanosarcina mazei Go1, DSM 3647",Peptidase propeptide and YPEB domain,pfam03413,,,pfam02183,,,
WOR8_10025341,WOR_8-12_25113,0,34.9765,5538,WOR8_100253411,WOR8_10025341.1,3,3260,3257,2518906962,2518645582,26.5,Archaea;Euryarchaeota;Methanomicrobia;unclassified Methanomicrobia;unclassified Methanomicrobia;Methanomassiliicoccus;luminyensis;Methanomassiliicoccus luminyensis B10,Bacterial pre-peptidase C-terminal domain,pfam04151,,,pfam04122,,,
WOR8_10005401,WOR_8-12_5400,SG8-5,55.4473,18376,WOR8_1000540112,WOR8_10005401.45,17089,18375,1286,2518908912,2518645582,54.9,Archaea;Euryarchaeota;Methanomicrobia;unclassified Methanomicrobia;unclassified Methanomicrobia;Methanomassiliicoccus;luminyensis;Methanomassiliicoccus luminyensis B10,"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains",COG0449,COG0449,47.83,pfam00310,KO:K00820,50.9,EC:2.6.1.16
